day,baseline_daily,probability,expected_daily,cumulative_expected
195,79376.86769835651,0.8090349999977129,64218.66415815832,17433571.73861362
196,78767.88410388678,0.8123340125747973,63985.83135613694,17497557.56996976
197,78163.57266429812,0.8156397647287821,63753.31801826918,17561310.887988027
198,77563.89753453434,0.8189522359120069,63521.1273119567,17624832.015299983
199,76968.82314459234,0.822271405743023,63289.26240549007,17688121.277705472
200,76378.31419735402,0.8255972540044194,63057.72646682224,17751179.004172295
201,75792.33566647768,0.8289297606406887,62826.52266241208,17814005.526834708
202,75210.8527943939,0.8322689057561303,62595.6541561756,17876601.180990882
203,74633.83109013736,0.8356146696127915,62365.12410832202,17938966.305099204
204,74061.2363274172,0.8389670326284451,62134.93567440721,18001101.24077361
205,73493.03454247862,0.8423259753746027,61905.092004232676,18063006.332777843
206,72929.19203217328,0.8456914785745628,61675.596240936844,18124681.92901878
207,72369.67535189539,0.8490635231014931,61446.45151999159,18186128.380538773
208,71814.45131367445,0.8524420899765467,61217.660968347605,18247346.04150712
209,71263.48698408902,0.8558271603670096,60989.22770344425,18308335.269210566
210,70716.74968245625,0.8592187155844818,60761.15483246938,18369096.424043037
211,70174.20697879046,0.8626167370830885,60533.445451437525,18429629.869494475
212,69635.82669188082,0.8660212064577222,60306.102644383485,18489935.97213886
213,69101.57688748837,0.8694321054423148,60079.129482673,18550015.10162153
214,68571.4258762896,0.8728494159081382,59852.52902410758,18609867.63064564
215,68045.34221214056,0.8762731198621352,59626.30431231905,18669493.93495796
216,67523.29469012469,0.8797031994452761,59400.458375988914,18728894.39333395
217,67005.25234476477,0.8831396369309444,59174.99422822187,18788069.38756217
218,66491.18444810808,0.8865824147233491,58949.91486581926,18847019.30242799
219,65981.06050798297,0.8900315153559624,58725.223268713526,18905744.525696702
220,65474.85026614368,0.893486921489984,58500.922399314375,18964245.44809602
221,64972.52369647473,0.8969486159128299,58277.015201916554,19022522.463297933
222,64474.05100324005,0.9004165815366466,58053.504602156805,19080575.96790009
223,63979.40261929482,0.9038908013968484,57830.39350644602,19138406.361406535
224,63488.54920434207,0.907371258650679,57607.684801449424,19196014.046207983
225,63001.46164315194,0.910857936575797,57385.38135354059,19253399.427561525
226,62518.11104391515,0.9143508185688813,57163.48600838404,19310562.91356991
227,62038.46873643994,0.9178498881442628,56942.00159038275,19367504.91516029
228,61562.50627053529,0.9213551289325742,56720.93090230145,19424225.846062593
229,61090.19541423768,0.9248665246794229,56500.27672475282,19480726.122787345
230,60621.50815221667,0.9283840592440844,56280.04181585327,19537006.1646032
231,60156.41668405384,0.9319077165982167,56060.22891076748,19593066.393513966
232,59694.89342261851,0.9354374808245935,55840.84072134686,19648907.234235313
233,59236.91099245101,0.9389733361158589,55621.87993577992,19704529.11417109
234,58782.442228108644,0.9425152667732988,55403.34921821184,19759932.463389304
235,58331.46017253399,0.9460632572056341,55185.251208388225,19815117.71459769
236,57883.93807552755,0.9496172919278306,54967.588521400714,19870085.303119093
237,57439.84939210117,0.9531773555599272,54750.363747323485,19924835.666866418
238,56999.16778091341,0.9567434328258825,54533.57945092954,19979369.24631735
239,56561.867102742195,0.9603155085524383,54317.2381714453,20033686.484488796
240,56127.921418853104,0.963893567668001,54101.34242220753,20087787.826911002
241,55697.30498957634,0.967477595201539,53885.89469052199,20141673.721601523
242,55269.99227268994,0.9710675762814965,53670.89743733806,20195344.61903886
243,54845.95792192221,0.9746634961347246,53456.35309703869,20248800.9721359
244,54425.17678549141,0.9782653400854272,53242.26407726825,20302043.23621317
245,54007.623904548585,0.9818730935541224,53028.632758666696,20355071.868971836
246,53593.27451172471,0.9854867420566201,52815.46149470568,20407887.330466542
247,53182.10402974486,0.9891062712030138,52602.75261159171,20460490.083078135
248,52774.08806976676,0.992731666696687,52390.5084078973,20512880.591486033
249,52369.202430173755,0.9963629143333351,52178.7311546403,20565059.322640672
250,51967.42309496552,1,51967.42309496552,20617026.745735638
