scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,171,4788,13338,171,513,87655.06121441667,230906.9712027302,0.2751585320740142,0.7248414679259858,192.3204183798594,506.6236300937224,59146.77349818556,99126.96607706012,59466.773498185554,99446.96607706012,69894.40484735818,15827373.957524566
B,100,172,4816,13416,172,516,88105.97161491172,232865.01576604394,0.27449824151969243,0.7255017584803076,191.20127882799312,505.34700421183254,59337.97477701355,99632.31308127195,59657.974777013544,99952.31308127195,69654.82830398256,15897028.78582855
B,100,173,4844,13494,173,519,88556.2977589989,234827.96435314033,0.2738423236202213,0.7261576763797787,190.0890160785988,504.0659763477146,59528.06379309215,100136.37905761966,59848.063793092144,100456.37905761966,69415.49924263134,15966444.285071181
B,100,174,4872,13572,174,522,89006.04047308664,236795.77671462105,0.27319074289204054,0.7268092571079594,188.98357665305545,502.7806268204785,59717.0473697452,100639.15968444014,60037.047369745196,100959.15968444014,69176.4203473534,16035620.705418535
B,100,175,4900,13650,175,525,89455.20058092034,238768.41265370094,0.2725434641930404,0.7274565358069596,187.88490775808918,501.4910356878038,59904.93227750329,101140.65072012795,60224.932277503285,101460.65072012795,68937.5943445893,16104558.299763124
B,100,176,4928,13728,176,528,89903.7789038569,240745.83202871957,0.2719004527187827,0.7280995472812173,186.79295727174826,500.1972827369427,60091.72523477504,101640.84800286489,60411.72523477503,101960.84800286489,68699.0240008691,16173257.323763993
B,100,177,4956,13806,177,531,90351.77626112955,242727.9947556202,0.27126167399876705,0.728738326001233,185.70767372945193,498.89944747520457,60277.43290850449,102139.7474503401,60597.43290850449,102459.7474503401,68460.71212046564,16241718.035884459
B,100,178,4984,13884,178,534,90799.19347010313,244714.86081039227,0.27062709389274486,0.7293729061072551,184.62900631064846,497.59760912136284,60462.06191481514,102637.34505946147,60782.06191481514,102957.34505946147,68222.66154320113,16309940.69742766
B,100,179,5012,13962,179,537,91246.03134652048,246706.3902314816,0.2699966785870779,0.730003321412922,183.5569048256623,496.29184659689446,60645.618819640804,103133.63690605837,60965.618819640804,103453.63690605837,67984.87514225568,16377925.572569916
B,100,180,5040,14040,180,540,91692.29070473977,248702.5431221643,0.26937039459114326,0.7306296054088568,182.49131970320732,494.9822385183522,60828.11013934401,103628.61914457672,61148.11013934401,103948.61914457672,67747.35582215595,16445672.928392071
